Регион,Всего,Указавшие цель приезда,работу,учебу,частную поездку,служебную или деловую поездку,"туризм, отдых",транзитное перемещение,другую цель,Не указавшие цель приезда
Центральный федеральный округ,,,,,,,,,,
Таджикистан,24511.0,23571.0,19786.0,1137,1092,267,406,163,720,940
Белгородская область,,,,,,,,,,
Таджикистан,76.0,76.0,9.0,61,3,-,-,1,2,-
Брянская область,,,,,,,,,,
Таджикистан,19.0,19.0,11.0,7,-,-,-,-,1,-
Владимирская область,,,,,,,,,,
Таджикистан,138.0,138.0,116.0,3,4,-,-,-,15,-
Воронежская область,,,,,,,,,,
Таджикистан,1040.0,1039.0,744.0,162,84,1,15,6,27,1
Ивановская область,,,,,,,,,,
Таджикистан,26.0,26.0,16.0,6,4,-,-,-,-,-
Калужская область,,,,,,,,,,
Таджикистан,939.0,792.0,601.0,44,96,3,2,1,45,147
Костромская область,,,,,,,,,,
Таджикистан,126.0,126.0,117.0,8,1,-,-,-,-,-
Курская область,,,,,,,,,,
Таджикистан,33.0,33.0,16.0,14,3,-,-,-,-,-
Липецкая область,,,,,,,,,,
Таджикистан,32.0,32.0,20.0,4,4,-,-,-,4,-
Московская область,,,,,,,,,,
Таджикистан,13884.0,13276.0,11522.0,405,572,146,106,65,460,608
Орловская область,,,,,,,,,,
Таджикистан,41.0,41.0,7.0,31,2,-,-,-,1,-
Рязанская область,,,,,,,,,,
Таджикистан,1046.0,1044.0,974.0,9,42,-,-,13,6,2
Смоленская область,,,,,,,,,,
Таджикистан,77.0,72.0,59.0,9,1,-,-,-,3,5
Тамбовская область,,,,,,,,,,
Таджикистан,123.0,121.0,74.0,9,9,-,-,-,29,2
Тверская область,,,,,,,,,,
Таджикистан,283.0,282.0,160.0,81,18,-,4,5,14,1
Тульская область,,,,,,,,,,
Таджикистан,463.0,439.0,382.0,17,15,1,3,2,19,24
Ярославская область,,,,,,,,,,
Таджикистан,72.0,72.0,59.0,9,4,-,-,-,-,-
г. Москва,,,,,,,,,,
Таджикистан,6093.0,5943.0,4899.0,258,230,116,276,70,94,150
Северо-Западный федеральный округ,,,,,,,,,,
Таджикистан,1846.0,1840.0,1500.0,142,92,12,34,1,59,6
Республика Карелия,,,,,,,,,,
Таджикистан,61.0,61.0,57.0,2,-,-,-,-,2,-
Республика Коми,,,,,,,,,,
Таджикистан,10.0,9.0,9.0,-,-,-,-,-,-,1
Архангельская область,,,,,,,,,,
Таджикистан,35.0,35.0,20.0,4,9,-,-,-,2,-
Ненецкий автономный округ,,,,,,,,,,
Таджикистан,3.0,3.0,3.0,-,-,-,-,-,-,-
Архангельская область без автономного округа,,,,,,,,,,
Таджикистан,32.0,32.0,17.0,4,9,-,-,-,2,-
Вологодская область,,,,,,,,,,
Таджикистан,36.0,36.0,27.0,1,6,-,2,-,-,-
Калининградская область,,,,,,,,,,
Таджикистан,74.0,74.0,63.0,9,-,-,-,-,2,-
Ленинградская область,,,,,,,,,,
Таджикистан,420.0,420.0,363.0,19,25,-,1,-,12,-
Мурманская область,,,,,,,,,,
Таджикистан,250.0,249.0,247.0,-,1,-,1,-,-,1
Новгородская область,,,,,,,,,,
Таджикистан,55.0,55.0,23.0,32,-,-,-,-,-,-
Псковская область,,,,,,,,,,
Таджикистан,21.0,21.0,16.0,4,-,-,-,-,1,-
Южный федеральный округ,,,,,,,,,,
Таджикистан,1635.0,1563.0,1222.0,155,134,4,4,4,40,72
Республика Адыгея,,,,,,,,,,
Таджикистан,193.0,193.0,60.0,110,13,1,1,-,8,-
Республика Калмыкия,,,,,,,,,,
Таджикистан,7.0,7.0,5.0,-,2,-,-,-,-,-
Республика Крым,,,,,,,,,,
Таджикистан,62.0,62.0,51.0,11,-,-,-,-,-,-
Краснодарский край,,,,,,,,,,
Таджикистан,145.0,142.0,120.0,6,11,3,-,-,2,3
Астраханская область,,,,,,,,,,
Таджикистан,39.0,39.0,35.0,4,-,-,-,-,-,-
Волгоградская область,,,,,,,,,,
Таджикистан,672.0,667.0,584.0,7,63,-,1,2,10,5
Ростовская область,,,,,,,,,,
Таджикистан,418.0,409.0,330.0,17,43,-,1,2,16,9
Северо-Кавказский федеральный округ,,,,,,,,,,
Таджикистан,329.0,324.0,253.0,18,23,-,-,19,11,5
Республика Дагестан,,,,,,,,,,
Таджикистан,4.0,2.0,2.0,-,-,-,-,-,-,2
Республика Ингушетия,,,,,,,,,,
Таджикистан,31.0,28.0,19.0,3,1,-,-,-,5,3
Кабардино-Балкарская Республика,,,,,,,,,,
Таджикистан,5.0,5.0,5.0,-,-,-,-,-,-,-
Карачаево-Черкесская Республика,,,,,,,,,,
Таджикистан,18.0,18.0,16.0,2,-,-,-,-,-,-
Республика Северная Осетия - Алания,,,,,,,,,,
Таджикистан,38.0,38.0,36.0,2,-,-,-,-,-,-
Чеченская Республика,,,,,,,,,,
Таджикистан,216.0,216.0,164.0,7,22,-,-,19,4,-
Ставропольский край,,,,,,,,,,
Таджикистан,17.0,17.0,11.0,4,-,-,-,-,2,-
Приволжский федеральный округ,,,,,,,,,,
Таджикистан,5368.0,5340.0,3578.0,683,888,5,19,21,146,28
Республика Башкортостан,,,,,,,,,,
Таджикистан,164.0,164.0,127.0,14,10,-,2,-,11,-
Республика Марий Эл,,,,,,,,,,
Таджикистан,153.0,151.0,3.0,146,1,1,-,-,-,2
Республика Мордовия,,,,,,,,,,
Таджикистан,28.0,28.0,26.0,2,-,-,-,-,-,-
Республика Татарстан,,,,,,,,,,
Таджикистан,2786.0,2771.0,1853.0,193,672,2,9,-,42,15
Удмуртская Республика,,,,,,,,,,
Таджикистан,68.0,68.0,50.0,11,4,-,-,1,2,-
Чувашская Республика,,,,,,,,,,
Таджикистан,30.0,30.0,13.0,17,-,-,-,-,-,-
Пермский край,,,,,,,,,,
Таджикистан,209.0,209.0,160.0,20,6,-,2,-,21,-
